,,sum,mean
,,sale_price,sale_price
district,neighborhood,,
Bronx,BATHGATE,19684293.0,596493.7272727273
Bronx,BAYCHESTER,100729034.0,407809.85425101215
Bronx,BEDFORD PARK/NORWOOD,49696670.0,443720.26785714284
Bronx,BELMONT,35382557.0,1220088.1724137932
Bronx,BRONXDALE,74450163.0,396011.50531914894
Bronx,CASTLE HILL/UNIONPORT,43077161.0,458267.670212766
Bronx,CITY ISLAND,20394443.0,485581.9761904762
Bronx,CITY ISLAND-PELHAM STRIP,736000.0,736000.0
Bronx,CO-OP CITY,537000.0,268500.0
Bronx,COUNTRY CLUB,44278807.0,503168.26136363635
Bronx,CROTONA PARK,11997149.0,444338.85185185185
Bronx,EAST TREMONT,35178880.0,439736.0
Bronx,FIELDSTON,11680473.0,467218.92
Bronx,FORDHAM,27231255.0,756423.75
Bronx,HIGHBRIDGE/MORRIS HEIGHTS,18601071.0,357712.9038461539
Bronx,HUNTS POINT,14985582.0,535199.3571428572
Bronx,KINGSBRIDGE HTS/UNIV HTS,15223732.0,262478.1379310345
Bronx,KINGSBRIDGE/JEROME PARK,39530591.0,352951.70535714284
Bronx,MELROSE/CONCOURSE,44508828.0,397400.25
Bronx,MORRIS PARK/VAN NEST,86955653.0,530217.3963414634
Bronx,MORRISANIA/LONGWOOD,78027389.0,490738.2955974843
Bronx,MOTT HAVEN/PORT MORRIS,57244551.0,938435.262295082
Bronx,MOUNT HOPE/MOUNT EDEN,24920750.0,623018.75
Bronx,PARKCHESTER,30893050.0,441329.28571428574
Bronx,PELHAM GARDENS,20850146.0,521253.65
Bronx,PELHAM PARKWAY NORTH,36436570.0,492386.08108108107
Bronx,PELHAM PARKWAY SOUTH,22106154.0,340094.6769230769
Bronx,RIVERDALE,208434141.0,463186.98
Bronx,SCHUYLERVILLE/PELHAM BAY,63973272.0,481002.045112782
Bronx,SOUNDVIEW,131654528.0,493088.1198501873
Bronx,THROGS NECK,89828093.0,467854.6510416667
Bronx,VAN CORTLANDT PARK,324900.0,162450.0
Bronx,WAKEFIELD,50070158.0,397382.20634920633
Bronx,WESTCHESTER,31209920.0,511638.0327868852
Bronx,WILLIAMSBRIDGE,113918764.0,431510.4696969697
Bronx,WOODLAWN,16553340.0,359855.2173913043
Brooklyn,BATH BEACH,112607048.0,893706.7301587302
Brooklyn,BAY RIDGE,327552316.0,793104.8813559322
Brooklyn,BEDFORD STUYVESANT,729304055.0,1132459.7127329193
Brooklyn,BENSONHURST,280296395.0,1167901.6458333333
Brooklyn,BERGEN BEACH,34683702.0,587859.3559322034
Brooklyn,BOERUM HILL,255931006.0,2047448.048
Brooklyn,BOROUGH PARK,505912920.0,1131796.2416107382
Brooklyn,BRIGHTON BEACH,110169424.0,605326.5054945055
Brooklyn,BROOKLYN HEIGHTS,580829339.0,2233958.9961538464
Brooklyn,BROWNSVILLE,52504816.0,473016.36036036036
Brooklyn,BUSH TERMINAL,16103430.0,766830.0
Brooklyn,BUSHWICK,323628465.0,951848.4264705882
Brooklyn,CANARSIE,166957442.0,474310.9147727273
Brooklyn,CARROLL GARDENS,181580325.0,2040228.370786517
Brooklyn,CLINTON HILL,230828142.0,1125990.9365853658
Brooklyn,COBBLE HILL,119870831.0,1410245.0705882353
Brooklyn,COBBLE HILL-WEST,35895699.0,1380603.8076923077
Brooklyn,CONEY ISLAND,55806013.0,465050.10833333334
Brooklyn,CROWN HEIGHTS,344544984.0,1031571.8083832335
Brooklyn,CYPRESS HILLS,101052620.0,526315.7291666666
Brooklyn,DOWNTOWN-FULTON FERRY,242369729.0,1970485.6016260162
Brooklyn,DOWNTOWN-FULTON MALL,406199857.0,2554716.0817610063
Brooklyn,DOWNTOWN-METROTECH,59626409.0,816800.1232876712
Brooklyn,DYKER HEIGHTS,143697123.0,1019128.5319148937
Brooklyn,EAST NEW YORK,233630824.0,472936.8906882591
Brooklyn,FLATBUSH-CENTRAL,264492735.0,902705.5802047781
Brooklyn,FLATBUSH-EAST,212651837.0,503914.30568720377
Brooklyn,FLATBUSH-LEFFERTS GARDEN,103488743.0,1162794.8651685393
Brooklyn,FLATBUSH-NORTH,101652031.0,558527.6428571428
Brooklyn,FLATLANDS,52456150.0,444543.6440677966
Brooklyn,FORT GREENE,119900428.0,1248962.7916666667
Brooklyn,GERRITSEN BEACH,28451800.0,451615.873015873
Brooklyn,GOWANUS,156267571.0,1796178.9770114943
Brooklyn,GRAVESEND,229399614.0,762124.9634551496
Brooklyn,GREENPOINT,268179190.0,1481652.9834254144
Brooklyn,KENSINGTON,84986958.0,1011749.5
Brooklyn,MADISON,159990450.0,869513.3152173914
Brooklyn,MANHATTAN BEACH,52453469.0,1165632.6444444444
Brooklyn,MARINE PARK,118684436.0,557203.9248826291
Brooklyn,MIDWOOD,203819223.0,922258.92760181
Brooklyn,MILL BASIN,60751476.0,880456.1739130435
Brooklyn,NAVY YARD,29946672.0,1109136.0
Brooklyn,OCEAN HILL,137492605.0,763847.8055555555
Brooklyn,OCEAN PARKWAY-NORTH,256436659.0,906136.6042402827
Brooklyn,OCEAN PARKWAY-SOUTH,155176734.0,923671.0357142857
Brooklyn,OLD MILL BASIN,64673005.0,461950.03571428574
Brooklyn,PARK SLOPE,614889048.0,1639704.128
Brooklyn,PARK SLOPE SOUTH,138474698.0,1555895.4831460675
Brooklyn,PROSPECT HEIGHTS,248639356.0,1114974.6905829597
Brooklyn,RED HOOK,49146160.0,1585360.0
Brooklyn,SEAGATE,20077906.0,692341.5862068966
Brooklyn,SHEEPSHEAD BAY,228341064.0,528567.2777777778
Brooklyn,SPRING CREEK,16897115.0,422427.875
Brooklyn,SUNSET PARK,246622019.0,1067627.7878787878
Brooklyn,WILLIAMSBURG-CENTRAL,60345921.0,783713.2597402597
Brooklyn,WILLIAMSBURG-EAST,249641689.0,1443015.5433526011
Brooklyn,WILLIAMSBURG-NORTH,228499899.0,1620566.6595744682
Brooklyn,WILLIAMSBURG-SOUTH,330766758.0,1389776.294117647
Brooklyn,WINDSOR TERRACE,95375573.0,1071635.6516853932
Brooklyn,WYCKOFF HEIGHTS,45817530.0,1347574.4117647058
Manhattan,ALPHABET CITY,36782840.0,5254691.428571428
Manhattan,CHELSEA,170740165.0,8130484.047619048
Manhattan,CHINATOWN,25105010.0,4184168.3333333335
Manhattan,CLINTON,60135010.0,8590715.714285715
Manhattan,EAST VILLAGE,29639394.0,4939899.0
Manhattan,FASHION,29290319.0,14645159.5
Manhattan,FLATIRON,54275000.0,13568750.0
Manhattan,GRAMERCY,100744103.0,10074410.3
Manhattan,GREENWICH VILLAGE-CENTRAL,125916999.0,11446999.909090908
Manhattan,GREENWICH VILLAGE-WEST,244326760.0,9049139.25925926
Manhattan,HARLEM-CENTRAL,220710012.0,2536896.6896551726
Manhattan,HARLEM-EAST,117633899.0,2735672.069767442
Manhattan,HARLEM-UPPER,85114020.0,2431829.1428571427
Manhattan,HARLEM-WEST,6717500.0,1679375.0
Manhattan,INWOOD,1369242.0,684621.0
